sample_index,sample_identity,sample_image_name,best_match_index,best_match_identity,best_match_image_name,similarity
1824,8210,12.png,301015,0005420,image_99456.jpg,0.33939358592033386
409,3505,47.png,119470,0813812,image_264658.jpg,0.3232620060443878
4506,9428,31.png,257582,0244709,image_154640.jpg,0.3424035608768463
4012,1906,40.png,146204,3016021,image_456375.jpg,0.4068080186843872
3657,7361,38.png,366951,0005218,image_91151.jpg,0.3632349371910095
2286,2521,37.png,188894,3995646,image_480578.jpg,0.3682938814163208
1679,9468,36.png,314629,0006969,image_106334.jpg,0.32072949409484863
8935,3611,4.png,403928,0923266,image_283267.jpg,0.3588293492794037
1424,6326,49.png,299925,1227579,image_322664.jpg,0.43178826570510864
9674,1774,22.png,168913,0000830,image_34915.jpg,0.3661659359931946
6912,9289,27.png,13073,0601553,image_224442.jpg,0.3426308035850525
520,4628,9.png,343735,0331516,image_172846.jpg,0.374911367893219
488,5802,10.png,262032,0107792,image_125733.jpg,0.38153842091560364
1535,1533,63.png,293468,0000552,image_25131.jpg,0.3399962782859802
3582,3045,30.png,333495,1715275,image_373362.jpg,0.37423038482666016
3811,6187,62.png,464153,2240326,image_412877.jpg,0.3997754752635956
8279,9848,34.png,277900,2222264,image_411507.jpg,0.3466455042362213
9863,4135,8.png,427270,1285162,image_328380.jpg,0.3571849465370178
434,3505,18.png,49505,1249883,image_325103.jpg,0.3404166102409363
9195,5579,56.png,226881,2312345,image_416908.jpg,0.3695560097694397
3257,4354,29.png,214772,1169011,image_316106.jpg,0.41347402334213257
8928,3611,12.png,133052,1204760,image_319660.jpg,0.3569001257419586
6873,2477,47.png,482841,1325419,image_333945.jpg,0.33363544940948486
3611,5064,64.png,403767,2502700,image_430229.jpg,0.35882237553596497
7359,9154,63.png,156143,0004884,image_77610.jpg,0.3527521789073944
9654,6567,2.png,226981,1428355,image_345422.jpg,0.3331871032714844
4557,4913,3.png,417223,0811124,image_264336.jpg,0.35857051610946655
106,5937,23.png,470047,1058987,image_301743.jpg,0.34689992666244507
2615,3366,32.png,476065,1085698,image_305495.jpg,0.33691734075546265
6924,9289,19.png,78934,0001741,image_59534.jpg,0.3403092324733734
5574,4314,25.png,197026,0570364,image_217926.jpg,0.34385228157043457
4552,4913,9.png,354751,0918021,image_281880.jpg,0.3751726448535919
2547,8159,51.png,18492,0460912,image_198274.jpg,0.3189115524291992
3527,3045,8.png,264082,0000612,image_28092.jpg,0.3352859914302826
5514,9107,22.png,296456,3241429,image_464715.jpg,0.4032219648361206
1674,9468,22.png,466352,0192505,image_143368.jpg,0.3700416684150696
1519,1533,7.png,482176,0371890,image_181601.jpg,0.3254324197769165
6224,4960,49.png,432074,0000188,image_5447.jpg,0.3541356325149536
1584,3830,21.png,335342,0001440,image_50199.jpg,0.3658638000488281
5881,5437,29.png,304732,1483196,image_351945.jpg,0.3880362808704376
5635,9888,44.png,322914,2006231,image_396851.jpg,0.4064685106277466
9891,4135,62.png,345366,0000499,image_21182.jpg,0.3790362775325775
4333,9194,24.png,83458,0774386,image_258351.jpg,0.3152783215045929
711,6512,8.png,148604,0383213,image_183829.jpg,0.34981846809387207
7527,5484,4.png,166576,1740127,image_376444.jpg,0.4172441363334656
8785,4869,20.png,156679,0124579,image_129204.jpg,0.4042651951313019
2045,6972,5.png,359671,0142206,image_133000.jpg,0.3536105453968048
6201,9753,29.png,345442,0000499,image_21110.jpg,0.3710864782333374
1291,5984,55.png,115747,2277525,image_415322.jpg,0.323973149061203
9044,9527,17.png,40780,1411125,image_342764.jpg,0.3844166100025177
4803,3092,44.png,62394,2107837,image_404036.jpg,0.38047486543655396
