sample_index,sample_identity,sample_image_name,best_match_index,best_match_identity,best_match_image_name,similarity
1824,000018,010.jpg,23779,1592225,image_363178.jpg,0.38687610626220703
409,000004,033.jpg,59867,0000103,image_805.jpg,0.48420459032058716
4506,000045,050.jpg,172440,0052446,image_115384.jpg,0.40831252932548523
4012,000040,038.jpg,359434,2762898,image_444643.jpg,0.3973516523838043
3657,000036,098.jpg,156472,1968140,image_393504.jpg,0.40943098068237305
2286,000022,056.jpg,39305,0000166,image_3419.jpg,0.4512682259082794
1679,000016,087.jpg,317983,1175262,image_317076.jpg,0.40237945318222046
8935,000090,004.jpg,391629,0005532,image_103797.jpg,0.39119380712509155
1424,000014,016.jpg,90071,0000141,image_1788.jpg,0.5044862627983093
9674,000097,086.jpg,74056,0000353,image_14551.jpg,0.40327486395835876
6912,000069,020.jpg,92743,0000295,image_11189.jpg,0.4912494421005249
520,000005,009.jpg,322652,2340533,image_419083.jpg,0.41871973872184753
488,000004,096.jpg,92903,0000295,image_11165.jpg,0.4308127760887146
1535,000015,017.jpg,36618,0000460,image_19485.jpg,0.4343634843826294
3582,000036,065.jpg,106390,0428065,image_192528.jpg,0.3907942771911621
3811,000038,092.jpg,427120,1285162,image_328404.jpg,0.40897810459136963
8279,000083,017.jpg,1482,0515296,image_207575.jpg,0.43058282136917114
9863,000099,049.jpg,295881,0215229,image_148095.jpg,0.43978673219680786
434,000004,035.jpg,212808,0220619,image_149024.jpg,0.42898041009902954
9195,000092,087.jpg,448457,1268158,image_326854.jpg,0.4036605954170227
3257,000032,087.jpg,73968,0000353,image_14708.jpg,0.41734111309051514
8928,000090,025.jpg,163008,0001005,image_38148.jpg,0.4208976626396179
6873,000069,057.jpg,92891,0000295,image_11378.jpg,0.4798670709133148
3611,000036,041.jpg,301923,1312575,image_332419.jpg,0.44199252128601074
7359,000074,069.jpg,345118,0000301,image_11851.jpg,0.40292638540267944
9654,000097,084.jpg,24197,3630292,image_473982.jpg,0.3587663769721985
4557,000045,027.jpg,255053,0004286,image_70044.jpg,0.4235726594924927
106,000001,045.jpg,379009,0004741,image_72119.jpg,0.45547980070114136
2615,000026,037.jpg,218782,0000427,image_17249.jpg,0.38170239329338074
6924,000069,071.jpg,374811,0818055,image_265626.jpg,0.3929179906845093
5574,000056,007.jpg,10430,1500155,image_353456.jpg,0.3869927227497101
4552,000045,090.jpg,467915,0000473,image_20066.jpg,0.42947274446487427
2547,000025,003.jpg,446868,0731075,image_249830.jpg,0.4459879994392395
3527,000035,052.jpg,225791,0001187,image_43833.jpg,0.3614502549171448
5514,000055,031.jpg,215213,0371660,image_181472.jpg,0.41155973076820374
1674,000016,085.jpg,225695,1036524,image_299347.jpg,0.37930065393447876
1519,000015,073.jpg,399537,0487405,image_201434.jpg,0.40541550517082214
6224,000062,003.jpg,217102,2751807,image_444068.jpg,0.3774339556694031
1584,000015,093.jpg,113301,0688132,image_241280.jpg,0.38337209820747375
5881,000059,022.jpg,215176,0371660,image_181462.jpg,0.5004276037216187
5635,000056,011.jpg,484317,0000620,image_28963.jpg,0.450501412153244
9891,000099,087.jpg,455033,0001602,image_55318.jpg,0.3888038694858551
4333,000043,086.jpg,363082,2235318,image_412698.jpg,0.4511462450027466
711,000007,065.jpg,317419,0493257,image_202673.jpg,0.39993637800216675
7527,000075,089.jpg,133849,0004740,image_72034.jpg,0.39425128698349
8785,000088,003.jpg,150827,0000333,image_13555.jpg,0.4214754104614258
2045,000020,014.jpg,485521,0005289,image_94023.jpg,0.38508474826812744
6201,000062,091.jpg,224334,1554887,image_358987.jpg,0.39408817887306213
1291,000013,043.jpg,256795,2263115,image_414586.jpg,0.3592050075531006
9044,000091,082.jpg,138843,4314368,image_483433.jpg,0.3870438039302826
4803,000048,017.jpg,158849,1359370,image_336950.jpg,0.45946189761161804
5925,000059,086.jpg,391948,0001554,image_53728.jpg,0.4062967896461487
9459,000095,014.jpg,121766,0005187,image_89790.jpg,0.42176809906959534
3150,000031,094.jpg,208298,0001804,image_61829.jpg,0.3488468527793884
1139,000011,092.jpg,376134,0005278,image_93682.jpg,0.3778575658798218
750,000007,099.jpg,348591,0597410,image_223312.jpg,0.4102391004562378
3733,000037,005.jpg,291889,0000202,image_6625.jpg,0.4035067558288574
4741,000047,094.jpg,161879,0000233,image_9116.jpg,0.5199770927429199
1307,000013,078.jpg,38891,1165044,image_315481.jpg,0.3901807367801666
3814,000038,061.jpg,8848,0910278,image_279437.jpg,0.43111127614974976
1654,000016,020.jpg,267146,3206118,image_463365.jpg,0.46252843737602234
6227,000062,071.jpg,106721,0137365,image_132414.jpg,0.41734084486961365
4554,000045,098.jpg,223264,2105766,image_403709.jpg,0.39657169580459595
7428,000074,036.jpg,478269,0000275,image_10602.jpg,0.4115968346595764
5977,000060,012.jpg,295239,0528331,image_210978.jpg,0.38369613885879517
2664,000026,096.jpg,305239,0462094,image_198530.jpg,0.4160205125808716
6065,000061,047.jpg,478310,0000275,image_10552.jpg,0.4434971809387207
5820,000058,063.jpg,101687,0000204,image_7110.jpg,0.441264808177948
3432,000034,021.jpg,222700,0079430,image_119829.jpg,0.3867837190628052
4374,000044,008.jpg,302246,2141059,image_405775.jpg,0.36922919750213623
1169,000011,046.jpg,359078,1676221,image_369753.jpg,0.3969112038612366
2803,000028,016.jpg,273925,1111921,image_309065.jpg,0.45679429173469543
8751,000088,051.jpg,150827,0000333,image_13555.jpg,0.6285033226013184
4010,000040,041.jpg,117686,2970551,image_454758.jpg,0.42624008655548096
2677,000027,002.jpg,333152,0277213,image_162040.jpg,0.39434295892715454
7573,000076,010.jpg,90905,0000304,image_12027.jpg,0.4449702799320221
6216,000062,048.jpg,249980,0000563,image_25613.jpg,0.44271355867385864
4422,000044,049.jpg,371294,0797464,image_262312.jpg,0.3794872462749481
9125,000092,069.jpg,441549,1579987,image_362148.jpg,0.4171752631664276
3598,000036,010.jpg,313510,1567113,image_360662.jpg,0.39742419123649597
5313,000053,019.jpg,5623,1216062,image_321681.jpg,0.35608285665512085
916,000009,009.jpg,55028,0000117,image_1413.jpg,0.5044606328010559
3752,000037,036.jpg,218865,0479527,image_200262.jpg,0.40795427560806274
525,000005,073.jpg,34571,2517103,image_430566.jpg,0.4001254141330719
5168,000052,033.jpg,235696,0515116,image_207178.jpg,0.5018005967140198
6572,000066,009.jpg,445719,2265977,image_414819.jpg,0.3494047224521637
4386,000044,057.jpg,1519,0515296,image_207573.jpg,0.4331279397010803
1084,000010,098.jpg,196982,0570364,image_218184.jpg,0.3688262701034546
3456,000034,090.jpg,103818,0000195,image_6143.jpg,0.4208586513996124
9292,000093,029.jpg,215153,0371660,image_181495.jpg,0.3863111138343811
5155,000052,097.jpg,333771,0350454,image_176953.jpg,0.4463682174682617
3483,000035,065.jpg,225791,0001187,image_43833.jpg,0.3889417350292206
8179,000082,017.jpg,305846,1867602,image_385836.jpg,0.3818039894104004
6482,000065,016.jpg,465579,0339011,image_174519.jpg,0.4069909155368805
7517,000075,042.jpg,428370,3075157,image_458763.jpg,0.42172932624816895
2340,000023,018.jpg,225491,0447695,image_196126.jpg,0.38813328742980957
4339,000043,046.jpg,363082,2235318,image_412698.jpg,0.4413720965385437
2287,000023,097.jpg,27147,0000168,image_3945.jpg,0.39815202355384827
4040,000040,042.jpg,246009,0005174,image_89324.jpg,0.39845865964889526
9197,000092,090.jpg,487040,2700631,image_441955.jpg,0.39422446489334106
8830,000089,007.jpg,50786,0172557,image_138048.jpg,0.3155062794685364
4304,000043,058.jpg,124482,0005575,image_105214.jpg,0.3686105012893677
9577,000096,028.jpg,430938,2457005,image_427728.jpg,0.32902923226356506
7019,000070,003.jpg,41886,2933395,image_452205.jpg,0.4023464322090149
9560,000096,099.jpg,127834,1633876,image_366333.jpg,0.3727061152458191
6543,000065,093.jpg,447245,0085400,image_121254.jpg,0.37091511487960815
5930,000059,042.jpg,4290,0000422,image_16992.jpg,0.42005234956741333
3593,000036,004.jpg,176940,0000287,image_11007.jpg,0.4130823314189911
2266,000022,042.jpg,74634,0001267,image_45002.jpg,0.42831388115882874
8348,000084,047.jpg,111120,0245112,image_154683.jpg,0.3815138339996338
8085,000081,038.jpg,266862,0000318,image_12442.jpg,0.3441825807094574
1489,000015,097.jpg,399506,0487405,image_201441.jpg,0.3919790983200073
771,000007,046.jpg,371788,0000383,image_15765.jpg,0.37378543615341187
1796,000018,067.jpg,355646,0000147,image_2706.jpg,0.4216369688510895
2504,000025,062.jpg,459771,0000170,image_4428.jpg,0.4985746443271637
2621,000026,041.jpg,140829,0748189,image_253161.jpg,0.4088810086250305
6916,000069,006.jpg,92859,0000295,image_11343.jpg,0.525341272354126
9771,000098,005.jpg,413912,0000439,image_18602.jpg,0.4259234666824341
1040,000010,092.jpg,209404,1013239,image_295178.jpg,0.43706563115119934
6304,000063,014.jpg,351940,0000648,image_30222.jpg,0.3924531936645508
6252,000063,079.jpg,235855,0515116,image_206925.jpg,0.37532147765159607
9763,000098,049.jpg,85985,0004937,image_79743.jpg,0.43152549862861633
7668,000077,040.jpg,209426,0003082,image_67817.jpg,0.3769882917404175
8669,000087,099.jpg,283730,0570860,image_218311.jpg,0.4079640507698059
4119,000041,099.jpg,22230,0000210,image_7925.jpg,0.46648678183555603
9064,000091,018.jpg,57353,2358143,image_420713.jpg,0.39915475249290466
188,000001,029.jpg,260438,0435695,image_193920.jpg,0.41352003812789917
1876,000018,029.jpg,365804,0000145,image_2310.jpg,0.4942561984062195
8797,000088,023.jpg,389675,0000334,image_13618.jpg,0.47883331775665283
4371,000044,054.jpg,404276,0004846,image_76388.jpg,0.4087662100791931
5573,000056,069.jpg,393322,3333183,image_466616.jpg,0.4470330476760864
1827,000018,088.jpg,106393,0428065,image_192529.jpg,0.41795867681503296
4808,000048,038.jpg,197628,0005182,image_89734.jpg,0.41551655530929565
7123,000071,042.jpg,283580,0000815,image_34819.jpg,0.41502124071121216
2591,000026,032.jpg,244673,1360860,image_337153.jpg,0.37362241744995117
7433,000074,098.jpg,345118,0000301,image_11851.jpg,0.5111445188522339
53,000000,061.jpg,170077,2854131,image_449315.jpg,0.3686658442020416
4315,000043,074.jpg,447328,0788202,image_260801.jpg,0.3355224132537842
8201,000082,063.jpg,315337,0241121,image_153664.jpg,0.37911394238471985
2927,000029,018.jpg,77735,3469515,image_470135.jpg,0.4040895700454712
8317,000083,000.jpg,291480,0095561,image_122910.jpg,0.40186575055122375
1743,000017,074.jpg,79477,0232975,image_152126.jpg,0.3901086747646332
4889,000049,040.jpg,140760,2789267,image_446111.jpg,0.38783693313598633
9859,000099,099.jpg,477505,2097375,image_403160.jpg,0.43372154235839844
3258,000032,096.jpg,23874,1592225,image_363220.jpg,0.3931925892829895
9885,000099,000.jpg,273895,0215502,image_148401.jpg,0.4587024748325348
6126,000061,064.jpg,478236,0000275,image_10521.jpg,0.42296674847602844
2646,000026,086.jpg,115543,0933988,image_286648.jpg,0.3460460305213928
8837,000089,073.jpg,153927,0680983,image_239788.jpg,0.3941914439201355
8689,000087,042.jpg,450383,0569962,image_217863.jpg,0.3569909930229187
9,000000,077.jpg,97251,0024521,image_110849.jpg,0.3751034438610077
9813,000099,033.jpg,165695,1346230,image_335712.jpg,0.4141451120376587
5310,000053,074.jpg,378597,1347765,image_335884.jpg,0.38387688994407654
8005,000080,005.jpg,110130,0001662,image_57302.jpg,0.399951696395874
319,000003,007.jpg,302824,0000102,image_661.jpg,0.4969240128993988
1832,000018,058.jpg,355574,0000147,image_2479.jpg,0.40615957975387573
5947,000059,093.jpg,271965,0881131,image_275581.jpg,0.4262564778327942
5038,000050,011.jpg,51962,0000357,image_14786.jpg,0.3168044686317444
3923,000039,060.jpg,335463,0000205,image_7373.jpg,0.5734177231788635
949,000009,019.jpg,55028,0000117,image_1413.jpg,0.4696720242500305
3946,000039,000.jpg,325032,0000207,image_7644.jpg,0.45609962940216064
9295,000093,087.jpg,201830,1706767,image_372390.jpg,0.409528911113739
1290,000013,030.jpg,345153,0000301,image_11759.jpg,0.36035439372062683
1403,000014,066.jpg,90336,0000141,image_1901.jpg,0.4992184042930603
7962,000080,026.jpg,443141,0818111,image_265798.jpg,0.41361570358276367
1133,000011,058.jpg,257692,0763960,image_256908.jpg,0.34990194439888
8727,000088,072.jpg,150605,0000333,image_13594.jpg,0.5147472620010376
