sample_index,sample_identity,sample_image_name,best_match_index,best_match_identity,best_match_image_name,similarity
1824,003357,000097.png,183426,0301959,image_166192.jpg,0.39290690422058105
409,009487,000127.png,180109,1746402,image_377163.jpg,0.40826332569122314
4506,005989,000130.png,336740,2114318,image_404485.jpg,0.4038735628128052
4012,008895,000056.png,179335,0759350,image_256266.jpg,0.3786962926387787
3657,007462,000033.png,48384,0001640,image_56766.jpg,0.3621761202812195
2286,004805,000155.png,1473,0515296,image_207565.jpg,0.4999919533729553
1679,004980,000062.png,280537,0004922,image_79185.jpg,0.3559865355491638
8935,004625,000189.png,358598,0000192,image_5879.jpg,0.3193938732147217
1424,006372,000143.png,111867,1199811,image_319207.jpg,0.3902340531349182
9674,003922,000012.png,309314,1974397,image_393848.jpg,0.3542901575565338
6912,007734,000044.png,23931,0159789,image_136185.jpg,0.4270610809326172
520,009487,000112.png,148537,2860645,image_449718.jpg,0.38910722732543945
488,009487,000149.png,271166,0360598,image_179363.jpg,0.41000592708587646
1535,006372,000099.png,120174,0767445,image_257619.jpg,0.4083658754825592
3582,007462,000087.png,228297,0671567,image_238370.jpg,0.35342782735824585
3811,007014,000102.png,194787,2466502,image_428247.jpg,0.36537522077560425
8279,001835,000164.png,45,0000662,image_31052.jpg,0.3842356503009796
9863,003700,000145.png,480928,2410856,image_424892.jpg,0.36237943172454834
434,009487,000118.png,301332,3679760,image_474651.jpg,0.3711097240447998
9195,008848,000195.png,450962,0275417,image_161446.jpg,0.4319775104522705
3257,007644,000110.png,210596,0825805,image_266624.jpg,0.3667045831680298
8928,004625,000036.png,435920,1172478,image_316617.jpg,0.3519141376018524
6873,007734,000110.png,173437,0787680,image_260562.jpg,0.44021713733673096
3611,007462,000031.png,254610,1601397,image_363923.jpg,0.3771010637283325
7359,009183,000181.png,429728,0261170,image_157639.jpg,0.38705551624298096
9654,003922,000125.png,322952,0606637,image_225488.jpg,0.36321479082107544
4557,005989,000151.png,457173,1036691,image_299530.jpg,0.3699982762336731
106,004066,000108.png,415457,0408081,image_188348.jpg,0.4081873893737793
2615,007280,000148.png,320809,0000708,image_33326.jpg,0.37351733446121216
6924,007734,000184.png,321838,0854304,image_271642.jpg,0.3993986248970032
5574,003489,000068.png,113869,0186728,image_142014.jpg,0.37599968910217285
4552,005989,000177.png,210914,2572554,image_434145.jpg,0.4448556900024414
2547,008441,000131.png,318698,0535502,image_212416.jpg,0.4046027660369873
3527,000378,000113.png,349861,0413168,image_189233.jpg,0.4672049283981323
5514,003489,000171.png,361251,0001022,image_38407.jpg,0.40260306000709534
1674,004980,000026.png,479094,0004930,image_79425.jpg,0.3536421060562134
1519,006372,000044.png,24812,0085312,image_121193.jpg,0.3782482147216797
6224,001838,000113.png,133678,2795757,image_446620.jpg,0.4028310775756836
1584,004980,000038.png,472275,1525807,image_356214.jpg,0.429817259311676
5881,000724,000014.png,117404,0829576,image_267488.jpg,0.3465314507484436
5635,003489,000015.png,108506,0059228,image_116401.jpg,0.36095130443573
9891,004891,000049.png,190977,0655585,image_235457.jpg,0.39239180088043213
4333,007659,000158.png,191291,3224117,image_464074.jpg,0.3281629681587219
711,009138,000168.png,342528,1851981,image_384673.jpg,0.4029894173145294
7527,004814,000164.png,175880,2779142,image_445459.jpg,0.41581398248672485
8785,004625,000173.png,172719,4861659,image_488375.jpg,0.31041598320007324
2045,007535,000104.png,463857,1237219,image_323809.jpg,0.38831424713134766
6201,001838,000196.png,285370,1317082,image_333002.jpg,0.3961906433105469
1291,007649,000022.png,409164,0186915,image_142086.jpg,0.3764931261539459
9044,000882,000187.png,86513,0271988,image_160503.jpg,0.3597053289413452
4803,007529,000041.png,142712,1972622,image_393769.jpg,0.37542521953582764
5925,007931,000075.png,81916,0202966,image_146385.jpg,0.39189136028289795
9459,001677,000008.png,457005,4228422,image_482734.jpg,0.4070439338684082
3150,007644,000076.png,340512,0659601,image_236115.jpg,0.400043785572052
1139,001277,000114.png,50453,0000651,image_30324.jpg,0.3647479712963104
750,005038,000065.png,81507,0000656,image_30742.jpg,0.37176185846328735
3733,007014,000019.png,125680,0521143,image_209448.jpg,0.410050630569458
4741,006130,000094.png,301609,1312575,image_332318.jpg,0.46724024415016174
1307,007649,000128.png,297410,0488662,image_201560.jpg,0.4168940782546997
3814,007014,000077.png,429602,0996669,image_292836.jpg,0.48093870282173157
1654,004980,000085.png,255575,0960912,image_291115.jpg,0.3699756860733032
6227,001838,000014.png,132085,0281212,image_163217.jpg,0.41036444902420044
4554,005989,000149.png,234913,0318821,image_169857.jpg,0.3974788784980774
7428,009183,000037.png,246306,0503624,image_204664.jpg,0.41617053747177124
5977,007931,000177.png,98231,1495210,image_352995.jpg,0.3743886351585388
2664,007280,000007.png,418402,1816903,image_381877.jpg,0.3559716045856476
6065,001838,000021.png,207563,1634944,image_366387.jpg,0.41059988737106323
5820,000724,000003.png,228787,0001390,image_48887.jpg,0.3902268409729004
3432,000378,000128.png,300993,0005420,image_99441.jpg,0.3752518892288208
4374,007659,000020.png,55786,0001840,image_63060.jpg,0.4076452851295471
1169,001277,000003.png,263073,0001467,image_50859.jpg,0.39071476459503174
2803,004195,000142.png,269642,0020248,image_110094.jpg,0.38518503308296204
8751,000473,000165.png,49039,1289434,image_329116.jpg,0.37545645236968994
4010,008895,000115.png,198824,3078932,image_458934.jpg,0.3819579780101776
2677,007280,000077.png,91998,0335300,image_173843.jpg,0.3415810167789459
7573,004814,000084.png,318877,0570604,image_218234.jpg,0.46429532766342163
6216,001838,000010.png,436814,1457826,image_349530.jpg,0.41942930221557617
4422,007659,000156.png,193908,0843100,image_270615.jpg,0.374447762966156
9125,000882,000034.png,189669,3310211,image_465992.jpg,0.4149283468723297
3598,007462,000158.png,444727,0000836,image_34978.jpg,0.3865586519241333
5313,009660,000119.png,356064,1980806,image_394401.jpg,0.40614259243011475
916,001725,000016.png,42618,0131564,image_130527.jpg,0.34853285551071167
3752,007014,000142.png,448644,0000335,image_13772.jpg,0.3857649266719818
525,009487,000072.png,483009,1023092,image_297143.jpg,0.39208072423934937
5168,004726,000054.png,192266,0871393,image_274181.jpg,0.3697514235973358
6572,000642,000079.png,114912,2596942,image_435621.jpg,0.39105284214019775
4386,007659,000004.png,437898,0528203,image_210658.jpg,0.41850507259368896
1084,001277,000047.png,376225,1717570,image_373516.jpg,0.3676551580429077
3456,000378,000051.png,467312,0005112,image_86800.jpg,0.40373682975769043
9292,008848,000166.png,27823,2554052,image_432593.jpg,0.4372852146625519
5155,004726,000065.png,296370,1470159,image_350459.jpg,0.39438939094543457
3483,000378,000126.png,180782,0873998,image_274292.jpg,0.36099085211753845
8179,006508,000085.png,326276,2357847,image_420340.jpg,0.4713454246520996
6482,007204,000146.png,184696,3045861,image_457822.jpg,0.3782174289226532
7517,004814,000059.png,239769,0005447,image_100420.jpg,0.45485055446624756
2340,004805,000091.png,430091,1533796,image_356869.jpg,0.39376118779182434
4339,007659,000174.png,335687,1643086,image_367097.jpg,0.4259437620639801
2287,004805,000032.png,192747,0472308,image_199442.jpg,0.40560564398765564
4040,008895,000085.png,56700,2584600,image_435197.jpg,0.37280595302581787
9197,008848,000164.png,32774,0947338,image_289225.jpg,0.4400811195373535
