sample_index,sample_identity,sample_image_name,best_match_index,best_match_identity,best_match_image_name,similarity
1824,04419,60_04419x0.85_(02085)x0.15.jpg,272467,0742389,image_252099.jpg,0.4087366461753845
409,09069,41_09069x0.75_(09913)x0.25.jpg,370388,1105590,image_308389.jpg,0.38084787130355835
4506,00528,48_00528x0.95_(02220)x0.05.jpg,251378,3041217,image_457622.jpg,0.359773725271225
4012,07379,95_07379x0.00_(00035)x1.00.jpg,354459,0226312,image_151065.jpg,0.35496431589126587
3657,05491,11_05491x0.50_(06413)x0.50.jpg,68792,4554203,image_486116.jpg,0.3586271405220032
2286,01468,27_01468x0.80_(03430)x0.20.jpg,45643,1728092,image_374700.jpg,0.32780951261520386
1679,00052,36_00052x0.85_(05624)x0.15.jpg,72623,2679438,image_440392.jpg,0.40898117423057556
8935,03311,93_03311x0.20_(07078)x0.80.jpg,133033,1204760,image_319636.jpg,0.4001479744911194
1424,04020,76_04020x0.25_(04074)x0.75.jpg,98658,2953537,image_453485.jpg,0.4068591892719269
9674,09278,06_09278x0.85_(07626)x0.15.jpg,55682,2451535,image_427217.jpg,0.41427522897720337
6912,07022,42_07022x0.15_(04486)x0.85.jpg,252506,1429380,image_345691.jpg,0.3771592974662781
520,09703,15_09703x0.70_(02636)x0.30.jpg,107811,0002907,image_67459.jpg,0.35701918601989746
488,09069,93_09069x0.20_(07797)x0.80.jpg,119817,0878768,image_275073.jpg,0.3454085886478424
1535,03507,36_03507x0.90_(06632)x0.10.jpg,466446,0192505,image_143375.jpg,0.3584353029727936
3582,00914,27_00914x0.25_(07738)x0.75.jpg,254271,1908742,image_388844.jpg,0.4741664528846741
3811,07562,75_07562x0.20_(09251)x0.80.jpg,470394,2471798,image_428798.jpg,0.4187968969345093
8279,05438,48_05438x0.90_(07261)x0.10.jpg,284600,2684485,image_441150.jpg,0.4396324157714844
9863,01641,49_01641x0.15_(06410)x0.85.jpg,173390,0787680,image_260568.jpg,0.42802122235298157
434,09069,44_09069x0.95_(09966)x0.05.jpg,401860,0005381,image_97656.jpg,0.33928030729293823
9195,06215,12_06215x0.75_(00362)x0.25.jpg,98017,0279545,image_162809.jpg,0.3599730134010315
3257,00853,17_00853x0.60_(05374)x0.40.jpg,256845,0395777,image_186308.jpg,0.3765062093734741
8928,03311,86_03311x0.05_(05086)x0.95.jpg,229691,0005509,image_102257.jpg,0.33928799629211426
6873,00349,57_00349x0.75_(00709)x0.25.jpg,252393,0741675,image_251992.jpg,0.3576827347278595
3611,05491,45_05491x1.00_(08279)x0.00.jpg,232820,0170306,image_137621.jpg,0.4121101200580597
7359,05440,90_05440x0.55_(01576)x0.45.jpg,24629,2118133,image_404772.jpg,0.391771137714386
9654,09278,38_09278x0.00_(03764)x1.00.jpg,262442,2720736,image_442612.jpg,0.44143229722976685
4557,00528,77_00528x0.90_(05718)x0.10.jpg,98915,3735092,image_475756.jpg,0.44194379448890686
106,02122,75_02122x1.00_(05530)x0.00.jpg,157695,0789478,image_261073.jpg,0.357818603515625
2615,08173,78_08173x0.35_(01558)x0.65.jpg,228897,3747326,image_475922.jpg,0.40145426988601685
6924,07022,26_07022x0.90_(08070)x0.10.jpg,76382,1578066,image_361955.jpg,0.39719343185424805
5574,04092,59_04092x0.10_(01824)x0.90.jpg,462147,3220245,image_463842.jpg,0.39942485094070435
4552,00528,27_00528x0.40_(05923)x0.60.jpg,483537,2863376,image_449869.jpg,0.4316771626472473
2547,09026,33_09026x0.90_(07886)x0.10.jpg,85675,1001446,image_293334.jpg,0.351474791765213
3527,00914,52_00914x0.40_(09828)x0.60.jpg,303340,0089456,image_121933.jpg,0.4203268885612488
5514,04092,86_04092x0.75_(01504)x0.25.jpg,283785,2541974,image_431924.jpg,0.3953281342983246
