Dataset,FMR100,FMR100_CI_Lower,FMR100_CI_Upper,FMR1000,FMR1000_CI_Lower,FMR1000_CI_Upper
CemiFace,0.183493,0.18203265,0.184959025,0.35544,0.34955844999999997,0.359812275
Control10k,0.9798161470823341,0.9766187050359713,0.9826139088729017,0.998701039168665,0.9980015987210232,0.999400479616307
DCFace,0.14571,0.1444577,0.147009225,0.303108,0.298683675,0.307254925
DIGIFACE_1M_1,0.07809,0.0772929,0.07892915,0.185423,0.182417825,0.18935525
Digi2Real,0.010915,0.010714875,0.01111405,0.022172,0.0216749,0.022735025
GanDiffFace,0.894526,0.893219925,0.8957402,0.975342,0.97425695,0.9765539
HyperFace,0.006247,0.006084975,0.006405,0.011723,0.011368975,0.01200205
IDNet,0.207015,0.205567925,0.208488075,0.379028,0.37439524999999996,0.3843089
IDiffFace,0.027088,0.026547974999999998,0.0276901,0.161496,0.15495297500000002,0.16841715000000002
LangevinDisco,0.670145,0.6677949750000001,0.6726887749999999,0.859286,0.8561082250000001,0.8631860499999999
MorphFace,0.038744,0.038261875,0.0392282,0.095787,0.09350267500000001,0.09775245
SFace,0.62231,0.62031295,0.624803275,0.849435,0.844562375,0.85521695
SFace2,0.580505,0.5778186249999999,0.5832586000000001,0.818644,0.813358825,0.8243261
Syn-Multi-PIE,0.238364,0.23643245000000002,0.240326075,0.438072,0.432233675,0.444200525
SynFace,0.792232,0.790917525,0.793755725,0.898421,0.896339925,0.900567425
Vec2Face,0.007903,0.00772295,0.008124025,0.043884,0.042025875000000004,0.0457211
