sample_index,sample_identity,sample_image_name,best_match_index,best_match_identity,best_match_image_name,similarity
1824,1080,17.png,66071,1475594,image_350988.jpg,0.32896050810813904
409,1347,40.png,16869,0005392,image_98020.jpg,0.3417999744415283
4506,1654,39.png,257167,0142246,image_133074.jpg,0.3609324097633362
4012,1928,70.png,417403,0003353,image_67999.jpg,0.38757774233818054
3657,364,18.png,437496,1863227,image_385570.jpg,0.3175784647464752
2286,326,21.png,408066,1416215,image_343945.jpg,0.34822455048561096
1679,1913,66.png,297060,0542759,image_213906.jpg,0.40259885787963867
8935,457,25.png,139854,0368689,image_181000.jpg,0.39199700951576233
1424,376,67.png,380603,1821051,image_382142.jpg,0.36505818367004395
9674,1461,50.png,219752,0004266,image_69286.jpg,0.3527311682701111
6912,878,27.png,44974,0383603,image_183922.jpg,0.3672446608543396
520,1212,3.png,417033,0940362,image_288042.jpg,0.4265441298484802
488,263,67.png,56191,4086622,image_481287.jpg,0.34507423639297485
1535,1033,66.png,442350,0859450,image_272496.jpg,0.43631088733673096
3582,731,21.png,223746,0786136,image_260263.jpg,0.33127111196517944
3811,1048,46.png,366291,2361932,image_421060.jpg,0.3851822018623352
8279,1081,63.png,43015,0573862,image_219120.jpg,0.37401509284973145
9863,866,63.png,384779,0262635,image_158150.jpg,0.40005165338516235
434,263,0.png,277825,2222264,image_411517.jpg,0.3024001121520996
9195,1600,37.png,60243,2225627,image_412227.jpg,0.359216570854187
3257,1833,52.png,458021,0420792,image_190520.jpg,0.33825165033340454
8928,457,27.png,175070,2490521,image_429511.jpg,0.4069613516330719
6873,1581,1.png,260001,0336701,image_173985.jpg,0.3523973524570465
3611,364,71.png,390080,0631490,image_229839.jpg,0.34742188453674316
7359,1308,19.png,79759,3020898,image_456881.jpg,0.3392011225223541
9654,1461,41.png,219935,0004266,image_69344.jpg,0.4420941472053528
4557,773,53.png,23384,0386472,image_184746.jpg,0.39015084505081177
106,338,28.png,100606,0887144,image_276280.jpg,0.43957871198654175
2615,1595,66.png,97076,0004984,image_81714.jpg,0.3151562809944153
6924,878,22.png,186771,2419686,image_425481.jpg,0.3548494875431061
5574,1713,31.png,61959,0005351,image_96560.jpg,0.37019437551498413
4552,773,3.png,263728,1574234,image_361634.jpg,0.351638525724411
2547,251,34.png,14848,1908554,image_388839.jpg,0.3420603275299072
3527,1234,63.png,224112,1853974,image_384685.jpg,0.39365434646606445
5514,1848,39.png,275830,0924210,image_283574.jpg,0.35743248462677
1674,1913,36.png,418137,0315974,image_169201.jpg,0.3686216175556183
1519,1033,25.png,309070,1065229,image_302330.jpg,0.33331695199012756
6224,836,15.png,466990,1836666,image_383246.jpg,0.37021228671073914
1584,789,27.png,125227,0001610,image_55855.jpg,0.34755367040634155
5881,1895,40.png,65559,0572481,image_218845.jpg,0.36727139353752136
5635,37,49.png,465043,0061877,image_116844.jpg,0.36689531803131104
9891,1275,34.png,312573,0000307,image_12126.jpg,0.3700298070907593
4333,1008,55.png,403431,3068922,image_458411.jpg,0.3524724245071411
711,1394,65.png,279420,4701008,image_487316.jpg,0.398790568113327
7527,874,62.png,459098,3127000,image_460628.jpg,0.314322829246521
8785,1041,60.png,120058,1965525,image_393195.jpg,0.3390085995197296
2045,785,47.png,466382,0192505,image_143396.jpg,0.29542645812034607
6201,836,9.png,71724,1940449,image_391317.jpg,0.3558107912540436
1291,1354,46.png,315723,0146915,image_133720.jpg,0.31851327419281006
9044,528,10.png,2235,0001337,image_47632.jpg,0.4141157865524292
4803,1380,37.png,226561,1415323,image_343556.jpg,0.35809820890426636
5925,352,53.png,182712,0000982,image_37706.jpg,0.38394105434417725
9459,820,34.png,232746,0197453,image_144917.jpg,0.3223097324371338
3150,439,21.png,214372,0429069,image_192745.jpg,0.3423255681991577
1139,1489,35.png,233403,2259318,image_414387.jpg,0.3151450753211975
750,747,31.png,281301,0744834,image_252660.jpg,0.4074278771877289
3733,1880,2.png,411561,0712826,image_246006.jpg,0.3693281412124634
4741,314,2.png,28556,2524048,image_430837.jpg,0.3676832914352417
1307,743,71.png,329727,0617141,image_227734.jpg,0.33877405524253845
3814,1048,30.png,124807,0215281,image_148234.jpg,0.36171749234199524
1654,789,30.png,477304,2067953,image_400887.jpg,0.39607083797454834
6227,836,61.png,366559,1987095,image_395490.jpg,0.379536509513855
4554,773,36.png,171692,2591886,image_435483.jpg,0.3536199927330017
7428,1954,22.png,1196,0001497,image_52204.jpg,0.3318621516227722
5977,1760,60.png,49623,1249883,image_325034.jpg,0.36226436495780945
2664,322,27.png,260703,0001151,image_43225.jpg,0.30912670493125916
6065,423,52.png,462567,2017943,image_397482.jpg,0.3452724814414978
5820,1114,48.png,239963,0972851,image_291624.jpg,0.36474084854125977
3432,660,69.png,259359,0971155,image_291543.jpg,0.38102948665618896
4374,1008,21.png,376897,1944279,image_391782.jpg,0.34167659282684326
1169,672,52.png,31644,2834669,image_448490.jpg,0.44400501251220703
2803,1460,46.png,34114,4638404,image_486819.jpg,0.3758741617202759
8751,1176,62.png,282699,0000652,image_30559.jpg,0.30264222621917725
4010,1928,24.png,54325,0399170,image_187039.jpg,0.4056324362754822
2677,322,55.png,184901,0382956,image_183816.jpg,0.30610376596450806
7573,1355,55.png,361875,0005046,image_84796.jpg,0.3249013423919678
6216,836,17.png,232709,0197453,image_144885.jpg,0.30775344371795654
4422,1789,31.png,406506,0711559,image_245680.jpg,0.38129255175590515
9125,1735,7.png,65349,2114006,image_404398.jpg,0.33137941360473633
3598,731,30.png,223752,0786136,image_260265.jpg,0.3571183681488037
5313,1154,18.png,486299,0891786,image_277121.jpg,0.3354354500770569
916,1307,70.png,480458,0220735,image_149031.jpg,0.34207814931869507
3752,1048,8.png,300472,4933278,image_488920.jpg,0.37759125232696533
525,1212,53.png,245678,0189220,image_142792.jpg,0.3380557894706726
5168,1340,67.png,151915,0005208,image_90707.jpg,0.35311388969421387
6572,761,20.png,425248,1736660,image_375493.jpg,0.30618295073509216
4386,1008,13.png,452159,1248373,image_324807.jpg,0.34204572439193726
1084,1489,44.png,150782,0000333,image_13503.jpg,0.3391428589820862
3456,1234,27.png,318046,5153308,image_490148.jpg,0.3917078971862793
9292,1414,44.png,289247,1035477,image_298792.jpg,0.325553297996521
5155,1340,4.png,120860,4013659,image_480763.jpg,0.42164042592048645
3483,1234,34.png,110142,0001662,image_57268.jpg,0.3269723951816559
8179,1728,4.png,274277,0202970,image_146441.jpg,0.4934343695640564
6482,1534,0.png,230838,0001661,image_57203.jpg,0.36940470337867737
7517,874,47.png,125365,1425385,image_345192.jpg,0.30157196521759033
2340,1548,12.png,24648,2118133,image_404760.jpg,0.3339845538139343
4339,1008,49.png,243507,0259433,image_157534.jpg,0.34005069732666016
2287,326,54.png,477800,0426432,image_192193.jpg,0.39216920733451843
4040,848,8.png,59476,0842081,image_270118.jpg,0.3445080518722534
9197,1600,7.png,151007,1529019,image_356628.jpg,0.34156209230422974
8830,1041,23.png,278835,0662519,image_236730.jpg,0.3555297553539276
4304,360,67.png,397907,2336967,image_418766.jpg,0.3644462823867798
9577,1596,60.png,177168,0445001,image_195534.jpg,0.27943041920661926
7019,1395,61.png,219906,0004266,image_69359.jpg,0.38173168897628784
9560,453,67.png,398903,0376716,image_182693.jpg,0.33379125595092773
6543,1534,65.png,193507,0005416,image_99281.jpg,0.3548767864704132
5930,352,50.png,285106,0563848,image_216192.jpg,0.36572474241256714
3593,731,29.png,299561,1854386,image_384728.jpg,0.33466851711273193
2266,326,28.png,477800,0426432,image_192193.jpg,0.3280017375946045
8348,119,59.png,482143,0371890,image_181583.jpg,0.35640913248062134
8085,415,53.png,4582,1824575,image_382493.jpg,0.3659243583679199
1489,1168,40.png,197312,2244205,image_413129.jpg,0.3763819932937622
771,747,37.png,56590,3017222,image_456442.jpg,0.39976346492767334
1796,1727,59.png,146106,0005036,image_84086.jpg,0.29558631777763367
2504,34,67.png,111665,0000498,image_21030.jpg,0.3757755160331726
2621,1595,47.png,62669,0518579,image_208185.jpg,0.3280770778656006
6916,878,44.png,195454,3987668,image_480395.jpg,0.3247056007385254
9771,157,37.png,350033,0413168,image_189409.jpg,0.3516767621040344
1040,1953,15.png,6840,3183762,image_462595.jpg,0.3434237837791443
6304,469,42.png,245581,3077316,image_458798.jpg,0.387580931186676
6252,836,48.png,207953,1589004,image_362799.jpg,0.34010565280914307
9763,157,4.png,171665,1877441,image_386690.jpg,0.4024257957935333
7668,1220,12.png,258381,2348805,image_419501.jpg,0.33437666296958923
8669,411,47.png,241567,3131306,image_460843.jpg,0.36199113726615906
4119,1095,19.png,98943,0000892,image_35998.jpg,0.3300687074661255
9064,528,16.png,391921,4065744,image_481053.jpg,0.34874558448791504
188,1668,10.png,128446,0304629,image_167141.jpg,0.36404091119766235
1876,1128,44.png,236704,1489668,image_352600.jpg,0.3899931013584137
8797,1041,55.png,267826,1872447,image_386222.jpg,0.33245253562927246
4371,1008,37.png,226350,1415323,image_343614.jpg,0.3204001784324646
5573,1713,47.png,158314,0124208,image_129109.jpg,0.34813857078552246
1827,1080,34.png,41246,1406413,image_342293.jpg,0.34455257654190063
4808,1380,67.png,32142,4093715,image_481403.jpg,0.3609105944633484
7123,949,46.png,420684,0123092,image_128498.jpg,0.3676813244819641
2591,251,63.png,126297,0864812,image_273471.jpg,0.38651135563850403
7433,1954,52.png,78520,3265508,image_465001.jpg,0.3569105863571167
53,705,7.png,100100,0110689,image_126329.jpg,0.38607996702194214
4315,360,46.png,190095,4074525,image_481101.jpg,0.3662571907043457
8201,1728,29.png,7866,0397194,image_186800.jpg,0.334384948015213
2927,735,56.png,423068,2400045,image_424056.jpg,0.33295518159866333
8317,119,45.png,365863,3998859,image_480596.jpg,0.31672120094299316
1743,1727,19.png,109500,3470692,image_470233.jpg,0.3086124658584595
4889,1428,29.png,441505,1794268,image_380325.jpg,0.3917052149772644
9859,866,46.png,238356,1172764,image_316823.jpg,0.34158164262771606
3258,1833,36.png,73347,2740063,image_443602.jpg,0.3244442343711853
9885,1275,53.png,295420,0532235,image_211688.jpg,0.38700512051582336
6126,1808,41.png,341694,0605514,image_225402.jpg,0.4090105891227722
2646,1595,21.png,420037,0196375,image_144602.jpg,0.3345194458961487
8837,1041,7.png,56794,2584600,image_435137.jpg,0.34791335463523865
8689,411,40.png,241567,3131306,image_460843.jpg,0.3435603976249695
9,705,9.png,15810,3609965,image_473247.jpg,0.34864524006843567
9813,866,53.png,279082,1428821,image_345539.jpg,0.3712903559207916
5310,1154,21.png,228393,0671567,image_238375.jpg,0.44310665130615234
8005,1914,55.png,80565,1955294,image_392535.jpg,0.33769649267196655
319,630,64.png,211753,0100866,image_124121.jpg,0.4012700021266937
1832,1080,15.png,254495,1601397,image_363938.jpg,0.3302638530731201
5947,352,4.png,48555,1873204,image_386571.jpg,0.38463038206100464
5038,1475,30.png,193933,0843100,image_270622.jpg,0.32906270027160645
3923,777,61.png,454491,1659221,image_367770.jpg,0.35506537556648254
949,69,55.png,12196,0000464,image_19820.jpg,0.37941044569015503
3946,777,51.png,94353,0241173,image_153832.jpg,0.3878020644187927
9295,1414,25.png,151255,0272479,image_160796.jpg,0.34488654136657715
1290,1354,13.png,281970,4412986,image_484309.jpg,0.345695436000824
1403,376,61.png,220569,2347178,image_419445.jpg,0.33544281125068665
7962,711,39.png,231497,0000775,image_34189.jpg,0.4021826386451721
1133,1489,7.png,55716,0531827,image_211553.jpg,0.32041239738464355
8727,1176,19.png,72677,2679438,image_440313.jpg,0.35298728942871094
2060,785,10.png,242586,0425053,image_192016.jpg,0.3328768014907837
2103,1588,19.png,469560,0532683,image_211927.jpg,0.341253399848938
7787,80,71.png,250761,0950620,image_289666.jpg,0.3662683069705963
9007,528,25.png,5368,0362429,image_179531.jpg,0.3645265996456146
2705,322,26.png,378403,0446798,image_195955.jpg,0.3033524751663208
4342,1008,33.png,159374,4122314,image_481696.jpg,0.34507742524147034
8645,411,57.png,109522,3470692,image_470246.jpg,0.38209015130996704
6932,878,20.png,122654,1675949,image_369693.jpg,0.3728198707103729
3470,1234,68.png,261706,2998948,image_455780.jpg,0.3298972249031067
8835,1041,37.png,461397,0000929,image_36410.jpg,0.3579496443271637
3295,1833,54.png,5592,0262558,image_158129.jpg,0.3537904620170593
5107,310,46.png,41070,0001099,image_41382.jpg,0.36034882068634033
6537,1534,18.png,463826,0648164,image_233192.jpg,0.35220205783843994
6118,423,30.png,61526,1508590,image_354768.jpg,0.32537153363227844
7177,1629,40.png,340940,1732017,image_375066.jpg,0.3336182236671448
8479,1775,54.png,396285,0136797,image_131945.jpg,0.34129130840301514
7397,1308,7.png,275548,1783208,image_379720.jpg,0.3617275357246399
1982,1774,58.png,175085,2490521,image_429509.jpg,0.3329221308231354
4061,848,47.png,56674,2584600,image_435173.jpg,0.35515162348747253
3681,1880,9.png,195257,2731228,image_443361.jpg,0.36832505464553833
1049,1953,26.png,301373,1312575,image_332379.jpg,0.4103846251964569
5539,1848,46.png,320253,3456797,image_469983.jpg,0.3484339118003845
344,630,67.png,85988,0004937,image_79651.jpg,0.3391222357749939
9638,1596,32.png,442103,1743205,image_376780.jpg,0.32274800539016724
9075,1735,11.png,346416,1009589,image_294498.jpg,0.35568493604660034
3770,1048,50.png,353505,1144767,image_313277.jpg,0.37466442584991455
9641,1596,29.png,409662,0152671,image_134849.jpg,0.374565988779068
3608,364,8.png,163324,2610960,image_436729.jpg,0.3733786940574646
117,338,43.png,214283,0429069,image_192932.jpg,0.3279750347137451
1163,672,71.png,38707,2091692,image_402742.jpg,0.3446615934371948
964,69,14.png,470229,2419161,image_425440.jpg,0.3413218855857849
3750,1048,41.png,118582,1036361,image_299185.jpg,0.3549552857875824
1104,1489,17.png,466990,1836666,image_383246.jpg,0.3227611482143402
514,1212,38.png,242631,0429363,image_193183.jpg,0.38194161653518677
5413,427,55.png,366646,0000495,image_20966.jpg,0.4229661822319031
1160,672,8.png,217572,1845037,image_384167.jpg,0.3346770405769348
8423,1129,63.png,189485,0110514,image_126311.jpg,0.3338431119918823
3899,777,71.png,270553,3143506,image_461196.jpg,0.3776790201663971
4562,773,50.png,54385,0399170,image_187079.jpg,0.3364931046962738
7953,711,1.png,378567,5043972,image_489413.jpg,0.3588458299636841
3510,1234,21.png,284284,1022732,image_297060.jpg,0.35960400104522705
8834,1041,24.png,181028,1521007,image_355811.jpg,0.35892176628112793
2167,1453,25.png,79923,0316079,image_169477.jpg,0.2941029965877533
9355,1414,46.png,109518,3470692,image_470222.jpg,0.34661412239074707
9440,820,8.png,484157,0000620,image_29185.jpg,0.3638422191143036
7744,1169,42.png,105542,0794609,image_261886.jpg,0.3956172466278076
3981,1928,53.png,3070,0001293,image_45799.jpg,0.3408351242542267
7749,1169,43.png,192862,0897583,image_277851.jpg,0.3347468376159668
6669,394,43.png,75623,0956603,image_290758.jpg,0.36547544598579407
3119,439,66.png,25301,1424837,image_345149.jpg,0.3123661279678345
1545,1033,1.png,95960,3568265,image_472058.jpg,0.4047962427139282
1588,789,44.png,418188,2335615,image_418564.jpg,0.3381265103816986
7062,949,41.png,304809,0035626,image_112691.jpg,0.37144988775253296
5804,1114,10.png,125541,1347153,image_335773.jpg,0.39794182777404785
6939,878,34.png,47474,0956531,image_290727.jpg,0.3298074007034302
6735,832,62.png,424306,0000633,image_29909.jpg,0.40955978631973267
7651,1220,49.png,299174,0005121,image_87335.jpg,0.3229270577430725
887,1307,66.png,74787,0908830,image_279049.jpg,0.36625221371650696
1612,789,14.png,254350,5164828,image_490266.jpg,0.28979170322418213
993,69,18.png,31985,0695435,image_242250.jpg,0.3454946279525757
6596,761,10.png,433428,1630927,image_365823.jpg,0.36211174726486206
5559,1713,19.png,70187,0444999,image_195429.jpg,0.35217562317848206
1790,1727,32.png,310145,0004802,image_75030.jpg,0.31995663046836853
4073,848,26.png,479009,0820847,image_266194.jpg,0.34578508138656616
3139,439,4.png,71116,0915762,image_281322.jpg,0.3487980365753174
3116,439,20.png,100968,0000598,image_27271.jpg,0.3355403542518616
8786,1041,0.png,407615,0001845,image_63487.jpg,0.3443140387535095
7350,1308,41.png,161757,2620636,image_437225.jpg,0.35394036769866943
2296,326,16.png,314193,2389665,image_422862.jpg,0.38342219591140747
9989,937,7.png,55404,0791968,image_261630.jpg,0.4105930030345917
3006,368,21.png,125822,0385293,image_184266.jpg,0.3736145496368408
4563,773,34.png,264731,1433900,image_346769.jpg,0.37995046377182007
7579,1355,49.png,337874,2000954,image_396423.jpg,0.34072309732437134
4092,848,48.png,57289,1844114,image_384139.jpg,0.31820574402809143
1235,1354,71.png,228680,0001390,image_48924.jpg,0.3592638373374939
7260,1260,48.png,2551,1145611,image_313434.jpg,0.3580567240715027
9016,528,3.png,29243,0152970,image_134914.jpg,0.3141022324562073
1604,789,20.png,116151,1734712,image_375441.jpg,0.38301974534988403
828,1906,12.png,261611,0186761,image_142031.jpg,0.3554023504257202
8856,824,27.png,25843,2819316,image_447732.jpg,0.3567526042461395
241,1533,6.png,464990,0525572,image_210185.jpg,0.3186272382736206
1528,1033,3.png,235870,0515116,image_207011.jpg,0.35470351576805115
3872,1694,67.png,391195,2472166,image_428857.jpg,0.36650580167770386
2724,322,48.png,111157,3361199,image_467435.jpg,0.360416054725647
6658,394,28.png,397796,0155150,image_135424.jpg,0.32261085510253906
7956,711,12.png,112023,3178852,image_462075.jpg,0.354369580745697
7886,1034,58.png,481449,0005045,image_84463.jpg,0.3095661997795105
3502,1234,23.png,430908,0004763,image_73483.jpg,0.3637339472770691
6570,761,36.png,436635,3841486,image_477546.jpg,0.39206889271736145
960,69,17.png,158480,0193738,image_143877.jpg,0.32445311546325684
2697,322,1.png,111157,3361199,image_467435.jpg,0.4012700021266937
6209,836,52.png,292950,0698251,image_242831.jpg,0.32696717977523804
35,705,61.png,462238,2682705,image_440982.jpg,0.41901734471321106
6396,1669,48.png,413817,0000439,image_18570.jpg,0.41909903287887573
4345,1008,6.png,457687,0669693,image_237984.jpg,0.31989675760269165
7454,1954,58.png,90562,0000402,image_16372.jpg,0.39080989360809326
4673,477,29.png,86692,1319325,image_333261.jpg,0.3323548138141632
6930,878,36.png,247642,2895066,image_450647.jpg,0.30840951204299927
9105,1735,1.png,238080,0143604,image_133388.jpg,0.383789598941803
7973,711,7.png,293113,0369513,image_181023.jpg,0.3444708287715912
2536,251,3.png,163034,0864997,image_273507.jpg,0.3560689687728882
3111,439,19.png,121940,0379066,image_183258.jpg,0.33728471398353577
4861,1428,45.png,35039,0343082,image_175562.jpg,0.3513702154159546
3566,731,58.png,213571,2200632,image_409891.jpg,0.3843667507171631
958,69,33.png,380714,0694765,image_242090.jpg,0.32016441226005554
9489,820,18.png,283052,2796058,image_446794.jpg,0.3302174210548401
8883,824,34.png,25843,2819316,image_447732.jpg,0.35336053371429443
998,69,32.png,31985,0695435,image_242250.jpg,0.38549256324768066
5138,1340,50.png,188962,2278522,image_415416.jpg,0.3616265058517456
936,69,27.png,341177,1257092,image_325605.jpg,0.35653939843177795
821,1906,47.png,224330,1554887,image_359032.jpg,0.5475615859031677
9571,453,46.png,192779,2051922,image_399465.jpg,0.35713493824005127
7811,80,61.png,238467,1172764,image_316863.jpg,0.37230631709098816
8238,1081,31.png,214135,1996918,image_395990.jpg,0.38516995310783386
