sample_index,sample_identity,sample_image_name,best_match_index,best_match_identity,best_match_image_name,similarity
1824,108812,4_image_3.jpg,106100,0799777,image_262737.jpg,0.36067962646484375
409,100704,0_image_3.jpg,486732,2127038,image_405180.jpg,0.40618908405303955
4506,158369,4_image_0.jpg,55638,0046337,image_114259.jpg,0.3668862581253052
4012,169079,0_image_0.jpg,230987,0200005,image_145746.jpg,0.324279248714447
3657,185752,3_image_0.jpg,169802,0713378,image_246195.jpg,0.3207882046699524
2286,135884,4_image_0.jpg,36277,1483241,image_351983.jpg,0.3409214913845062
1679,176154,1_image_0.jpg,163034,0864997,image_273507.jpg,0.345271497964859
8935,192645,3_image_3.jpg,403681,1132273,image_311737.jpg,0.35944458842277527
1424,167357,4_image_3.jpg,102283,1085951,image_305582.jpg,0.35546430945396423
9674,156120,3_image_1.jpg,71966,1553725,image_358780.jpg,0.380698561668396
6912,149996,0_image_0.jpg,458322,1055413,image_301298.jpg,0.39074844121932983
520,147990,2_image_2.jpg,174596,1000000,image_293179.jpg,0.32226282358169556
488,188334,4_image_2.jpg,258954,3018796,image_456668.jpg,0.42567625641822815
1535,130263,3_image_3.jpg,341632,1120597,image_310077.jpg,0.3642581105232239
3582,142661,1_image_3.jpg,142670,2104446,image_403548.jpg,0.3949826955795288
3811,119923,1_image_2.jpg,88768,0912635,image_279914.jpg,0.33746421337127686
8279,171498,1_image_0.jpg,6444,1672246,image_369493.jpg,0.3778607249259949
9863,130852,2_image_3.jpg,353319,0426699,image_192203.jpg,0.3822484612464905
434,123847,3_image_1.jpg,107178,0001435,image_49674.jpg,0.38446158170700073
9195,120391,3_image_3.jpg,236330,0249275,image_155554.jpg,0.4845247268676758
3257,138899,3_image_0.jpg,96851,1399877,image_341385.jpg,0.37199974060058594
8928,192645,4_image_2.jpg,19106,3208606,image_463479.jpg,0.3963119387626648
6873,187351,4_image_1.jpg,35762,0005253,image_92112.jpg,0.33176952600479126
3611,121873,1_image_2.jpg,368224,2186682,image_408848.jpg,0.34395062923431396
7359,326,1_image_0.jpg,295909,0215229,image_148126.jpg,0.38534480333328247
9654,138949,3_image_1.jpg,384048,4435720,image_484579.jpg,0.3258344531059265
4557,184297,3_image_0.jpg,143848,0701512,image_243437.jpg,0.3388218283653259
106,185469,4_image_0.jpg,472112,3080074,image_459086.jpg,0.43017566204071045
2615,132946,3_image_3.jpg,406419,0203301,image_146596.jpg,0.3480255901813507
6924,148678,4_image_3.jpg,372109,0001880,image_64247.jpg,0.3714064955711365
5574,184119,3_image_1.jpg,184952,1720969,image_374096.jpg,0.44972217082977295
4552,184297,0_image_0.jpg,425376,1046845,image_300584.jpg,0.36041152477264404
2547,131291,2_image_0.jpg,104603,0857253,image_272033.jpg,0.3958898186683655
