sample_index,sample_identity,sample_image_name,best_match_index,best_match_identity,best_match_image_name,similarity
1824,Asian_Female_1353225,46.png,470227,2419161,image_425436.jpg,0.568191409111023
409,Asian_Female_1046246,27.png,384424,0005094,image_86171.jpg,0.3211204707622528
4506,Asian_Female_1795502,34.png,323271,2692146,image_441623.jpg,0.42986518144607544
4012,Asian_Female_1690766,11.png,138997,0460694,image_198220.jpg,0.3583920896053314
3657,Asian_Female_1641612,49.png,224330,1554887,image_359032.jpg,0.45529627799987793
2286,Asian_Female_1433271,29.png,198259,0654648,image_234857.jpg,0.30788636207580566
1679,Asian_Female_1333603,5.png,85850,0004937,image_79882.jpg,0.35865190625190735
8935,Asian_Female_2512570,23.png,204939,0254395,image_156670.jpg,0.35691913962364197
1424,Asian_Female_1266449,43.png,408893,3106310,image_460099.jpg,0.37551847100257874
9674,Asian_Female_2580650,20.png,32053,0695435,image_242263.jpg,0.38489317893981934
6912,Asian_Female_2153095,23.png,429031,0832314,image_267949.jpg,0.346809983253479
520,Asian_Female_1079413,8.png,228828,0497794,image_203321.jpg,0.3558899164199829
488,Asian_Female_1075008,30.png,63098,0000159,image_3229.jpg,0.38351815938949585
1535,Asian_Female_129840,9.png,90533,0000402,image_16378.jpg,0.3146117329597473
3582,Asian_Female_1632319,31.png,278697,0001029,image_38627.jpg,0.4271754026412964
3811,Asian_Female_1661464,25.png,470227,2419161,image_425436.jpg,0.4048713743686676
8279,Asian_Female_2409503,52.png,180199,2360815,image_420961.jpg,0.4699338972568512
9863,Asian_Female_2615255,44.png,66290,2331282,image_418429.jpg,0.6726770401000977
434,Asian_Female_1046246,43.png,175152,0000483,image_20380.jpg,0.3871307969093323
9195,Asian_Female_2527054,12.png,391821,0005532,image_103761.jpg,0.3418012857437134
3257,Asian_Female_158234,34.png,198198,0654648,image_234847.jpg,0.33663642406463623
8928,Asian_Female_2512570,19.png,29443,0771414,image_257987.jpg,0.3776799440383911
6873,Asian_Female_2153095,25.png,309621,0074477,image_119410.jpg,0.3147408664226532
3611,Asian_Female_16393,16.png,73572,0604784,image_224862.jpg,0.3880748152732849
7359,Asian_Female_2224781,6.png,66290,2331282,image_418429.jpg,0.5046163201332092
9654,Asian_Female_2575476,52.png,279995,2183803,image_408596.jpg,0.5197997093200684
4557,Asian_Female_1821005,48.png,228828,0497794,image_203321.jpg,0.4321311414241791
106,Asian_Female_1003848,14.png,228636,0001390,image_49048.jpg,0.3683190941810608
2615,Asian_Female_1466276,4.png,235191,0001387,image_48730.jpg,0.3359357714653015
6924,Asian_Female_2165276,42.png,65912,1475594,image_350856.jpg,0.34309157729148865
5574,Asian_Female_1915400,8.png,436752,2106637,image_403872.jpg,0.3499869704246521
4552,Asian_Female_1821005,24.png,375373,0640660,image_231005.jpg,0.3671295642852783
2547,Asian_Female_1466010,50.png,228805,0001390,image_49005.jpg,0.33753907680511475
3527,Asian_Female_1623334,31.png,221296,1352774,image_336361.jpg,0.5858992338180542
5514,Asian_Female_1912377,32.png,228488,0111274,image_126544.jpg,0.3390715718269348
1674,Asian_Female_1333603,27.png,103267,1897713,image_388128.jpg,0.312650203704834
1519,Asian_Female_129840,24.png,354102,0371891,image_181672.jpg,0.3469836115837097
6224,Asian_Female_1985604,45.png,323271,2692146,image_441623.jpg,0.3961622416973114
1584,Asian_Female_1302495,11.png,347066,0005202,image_90354.jpg,0.3487711548805237
5881,Asian_Female_19540,19.png,381571,3986726,image_480389.jpg,0.34754014015197754
5635,Asian_Female_1923586,48.png,52309,1564087,image_360289.jpg,0.6343645453453064
9891,Asian_Female_261672,49.png,8454,0000867,image_35146.jpg,0.5020004510879517
4333,Asian_Female_1754432,12.png,119436,0813812,image_264627.jpg,0.4007629454135895
711,Asian_Female_1102146,14.png,82850,2423358,image_425699.jpg,0.338744580745697
7527,Asian_Female_2301363,38.png,388438,0542603,image_213833.jpg,0.3720736801624298
8785,Asian_Female_2499246,33.png,207794,0708293,image_245035.jpg,0.3725261688232422
2045,Asian_Female_138945,15.png,224330,1554887,image_359032.jpg,0.6112213134765625
6201,Asian_Female_1985604,44.png,487489,1027847,image_298112.jpg,0.450046569108963
1291,Asian_Female_1222415,51.png,131074,0000396,image_16129.jpg,0.4009338319301605
9044,Asian_Female_2518085,54.png,205371,0702572,image_243633.jpg,0.3720015287399292
4803,Asian_Female_1850000,16.png,241915,0000260,image_9753.jpg,0.33529552817344666
5925,Asian_Female_1958252,5.png,224330,1554887,image_359032.jpg,0.5469824075698853
9459,Asian_Female_2546856,27.png,232040,0069109,image_118927.jpg,0.38840728998184204
3150,Asian_Female_1568219,54.png,102941,0819850,image_266016.jpg,0.3514931797981262
1139,Asian_Female_1175006,48.png,487489,1027847,image_298112.jpg,0.5000828504562378
750,Asian_Female_110509,12.png,162256,0572442,image_218819.jpg,0.4929441809654236
3733,Asian_Female_1641720,24.png,224330,1554887,image_359032.jpg,0.7167049646377563
4741,Asian_Female_1848168,49.png,279995,2183803,image_408596.jpg,0.44483253359794617
1307,Asian_Female_1222415,26.png,481034,0103785,image_124806.jpg,0.33407342433929443
3814,Asian_Female_1661464,47.png,470227,2419161,image_425436.jpg,0.5188422799110413
1654,Asian_Female_1333603,42.png,470227,2419161,image_425436.jpg,0.5699196457862854
6227,Asian_Female_1989805,10.png,195009,0640669,image_231064.jpg,0.3169018626213074
4554,Asian_Female_1821005,4.png,403071,0001778,image_61180.jpg,0.39326369762420654
7428,Asian_Female_2256970,1.png,40883,1411125,image_342832.jpg,0.35100048780441284
5977,Asian_Female_1963211,51.png,224330,1554887,image_359032.jpg,0.7202253937721252
2664,Asian_Female_1472067,44.png,184185,1276442,image_327976.jpg,0.3624779284000397
6065,Asian_Female_1980334,42.png,152868,1021417,image_296845.jpg,0.43803685903549194
5820,Asian_Female_1943669,36.png,279995,2183803,image_408596.jpg,0.5184849500656128
3432,Asian_Female_160913,45.png,228828,0497794,image_203321.jpg,0.4594569206237793
4374,Asian_Female_1760308,22.png,448312,0049313,image_114957.jpg,0.387295126914978
1169,Asian_Female_1184154,32.png,195753,1156977,image_314260.jpg,0.3540967106819153
2803,Asian_Female_1525126,40.png,162256,0572442,image_218819.jpg,0.6869557499885559
8751,Asian_Female_2494601,28.png,222607,0953778,image_290052.jpg,0.43626120686531067
4010,Asian_Female_1690766,26.png,351149,2554204,image_432805.jpg,0.3666132688522339
2677,Asian_Female_1472067,34.png,224330,1554887,image_359032.jpg,0.5403121709823608
7573,Asian_Female_2301363,30.png,347097,0005202,image_90382.jpg,0.3952022194862366
6216,Asian_Female_1985604,13.png,119436,0813812,image_264627.jpg,0.39751315116882324
4422,Asian_Female_1762302,32.png,470227,2419161,image_425436.jpg,0.6185563802719116
9125,Asian_Female_2522581,40.png,91097,0281167,image_163174.jpg,0.3562542796134949
3598,Asian_Female_1632319,6.png,85693,1001446,image_293332.jpg,0.42336732149124146
5313,Asian_Female_1884907,7.png,224330,1554887,image_359032.jpg,0.6477185487747192
916,Asian_Female_1120248,4.png,102577,2267814,image_414922.jpg,0.33969128131866455
3752,Asian_Female_1648591,42.png,244671,1753038,image_377567.jpg,0.30799126625061035
525,Asian_Female_1079413,44.png,6836,3183762,image_462584.jpg,0.31457045674324036
5168,Asian_Female_1876284,45.png,124225,2512132,image_430477.jpg,0.4307602047920227
6572,Asian_Female_2032783,12.png,208621,0002122,image_65840.jpg,0.3150887191295624
4386,Asian_Female_1760308,7.png,470227,2419161,image_425436.jpg,0.5004409551620483
1084,Asian_Female_1167168,48.png,323271,2692146,image_441623.jpg,0.44466543197631836
3456,Asian_Female_1622148,17.png,221296,1352774,image_336361.jpg,0.5835762023925781
9292,Asian_Female_2537619,17.png,319906,1444665,image_348050.jpg,0.3964182138442993
5155,Asian_Female_1876284,19.png,52309,1564087,image_360289.jpg,0.6309078931808472
3483,Asian_Female_1622148,43.png,490550,1185747,image_317858.jpg,0.4568693935871124
8179,Asian_Female_2384422,14.png,444674,0811435,image_264378.jpg,0.32379835844039917
6482,Asian_Female_2001508,4.png,162256,0572442,image_218819.jpg,0.482263445854187
7517,Asian_Female_2280107,23.png,287852,0488953,image_201650.jpg,0.40785497426986694
2340,Asian_Female_1445716,4.png,66290,2331282,image_418429.jpg,0.6290674209594727
4339,Asian_Female_1754432,52.png,152868,1021417,image_296845.jpg,0.47017404437065125
2287,Asian_Female_1433271,31.png,193013,0072093,image_119241.jpg,0.37158334255218506
4040,Asian_Female_169209,0.png,230068,2003700,image_396766.jpg,0.3610292375087738
9197,Asian_Female_2527054,29.png,322959,0606637,image_225507.jpg,0.397577702999115
8830,Asian_Female_2499246,53.png,190109,3116690,image_460204.jpg,0.3375668525695801
4304,Asian_Female_1754432,20.png,53255,2459667,image_427854.jpg,0.37422841787338257
9577,Asian_Female_2566076,41.png,246187,0689237,image_241588.jpg,0.5257933139801025
7019,Asian_Female_2181496,11.png,470227,2419161,image_425436.jpg,0.598065972328186
9560,Asian_Female_2566076,38.png,454811,0072435,image_119303.jpg,0.36918964982032776
6543,Asian_Female_2032783,20.png,180916,2395937,image_423421.jpg,0.35521817207336426
5930,Asian_Female_1958252,24.png,52309,1564087,image_360289.jpg,0.5833392143249512
3593,Asian_Female_1632319,43.png,289627,3104621,image_460075.jpg,0.36200135946273804
2266,Asian_Female_1433271,0.png,470227,2419161,image_425436.jpg,0.5468686819076538
8348,Asian_Female_2439265,39.png,221296,1352774,image_336361.jpg,0.6313872933387756
8085,Asian_Female_2371509,16.png,91097,0281167,image_163174.jpg,0.4078754484653473
1489,Asian_Female_129840,42.png,228828,0497794,image_203321.jpg,0.309048593044281
771,Asian_Female_1107506,10.png,245712,0189220,image_142660.jpg,0.3586220145225525
1796,Asian_Female_1350937,4.png,86863,0372117,image_181706.jpg,0.3614599406719208
2504,Asian_Female_1464100,12.png,470227,2419161,image_425436.jpg,0.6603506803512573
2621,Asian_Female_1466276,26.png,153799,0001416,image_49509.jpg,0.3026639521121979
6916,Asian_Female_2153095,14.png,429031,0832314,image_267949.jpg,0.3605162501335144
9771,Asian_Female_2594886,30.png,470227,2419161,image_425436.jpg,0.5973658561706543
1040,Asian_Female_1157248,9.png,470227,2419161,image_425436.jpg,0.6215277314186096
6304,Asian_Female_1991401,50.png,219726,0004266,image_69666.jpg,0.36029183864593506
