sample_index,sample_identity,sample_image_name,best_match_index,best_match_identity,best_match_image_name,similarity
1824,006460,029.jpg,100489,2218427,image_411292.jpg,0.36655938625335693
409,004980,014.jpg,110510,0000694,image_32739.jpg,0.3210670053958893
4506,000955,037.jpg,418494,1663466,image_368409.jpg,0.4387319087982178
4012,006175,036.jpg,354538,3978642,image_480221.jpg,0.46762022376060486
3657,002064,003.jpg,284486,0477127,image_199910.jpg,0.3953399956226349
2286,008848,012.jpg,63487,0808376,image_263655.jpg,0.3483642041683197
1679,007734,043.jpg,137816,0001763,image_60062.jpg,0.3204442262649536
8935,003986,010.jpg,20361,1505375,image_354512.jpg,0.35603222250938416
1424,000724,028.jpg,227095,3347097,image_467098.jpg,0.36457306146621704
9674,002134,015.jpg,149793,1733488,image_375291.jpg,0.536268949508667
6912,002648,048.jpg,319542,3495777,image_470786.jpg,0.3287377953529358
520,007535,046.jpg,475847,1368825,image_337709.jpg,0.3464345335960388
488,007535,032.jpg,31266,3082287,image_459142.jpg,0.35967817902565
1535,000144,043.jpg,233747,0000579,image_26187.jpg,0.3584640324115753
3582,000892,009.jpg,352739,1455681,image_349018.jpg,0.6374112367630005
3811,007257,011.jpg,238776,0000663,image_31575.jpg,0.36620545387268066
8279,008173,001.jpg,288774,0770005,image_257833.jpg,0.3954991400241852
9863,000667,027.jpg,12043,3879977,image_478447.jpg,0.3462422490119934
434,003357,045.jpg,113418,0394248,image_185969.jpg,0.3469395041465759
9195,008853,042.jpg,61146,0180411,image_140167.jpg,0.38448888063430786
3257,004948,022.jpg,149487,0191044,image_142970.jpg,0.37898531556129456
8928,003986,025.jpg,318122,0503567,image_204580.jpg,0.34373974800109863
6873,004320,011.jpg,84597,0572650,image_218884.jpg,0.3995371460914612
3611,000892,046.jpg,54918,1454979,image_348958.jpg,0.5921239852905273
7359,000704,015.jpg,476365,0129295,image_130171.jpg,0.3580207824707031
9654,002134,037.jpg,161715,1732800,image_375233.jpg,0.7223920822143555
4557,000265,038.jpg,297174,2984460,image_455271.jpg,0.3888241946697235
106,009487,016.jpg,457860,0001488,image_51525.jpg,0.39380791783332825
2615,009231,043.jpg,281221,0744834,image_252674.jpg,0.3130350708961487
6924,002648,023.jpg,196164,0719637,image_247636.jpg,0.38873565196990967
5574,008021,011.jpg,376233,1717570,image_373524.jpg,0.3790817856788635
