Dataset,FDR,FDR_CI_Lower,FDR_CI_Upper,FDR_Margin
CemiFace,3.631782567737974,3.6178623881023535,3.6450231102190154,0.013580361058330936
Control10k,0.09280723667271724,0.08386380711996504,0.10181344112804543,0.008974817004040195
DCFace,4.280068578103315,4.264328237091978,4.294541421860011,0.015106592384016349
DIGIFACE_1M_1,6.7045645424765725,6.684446044656067,6.725815089085228,0.020684522214580614
Digi2Real,15.042822186752204,14.990304246012949,15.100857278005261,0.05527651599615613
GanDiffFace,0.4231248380991136,0.4205328132551293,0.42558987268712645,0.0025285297159985676
HyperFace,18.203768170246768,18.133087798351095,18.27636818455322,0.07164019310106262
IDNet,3.367047909955094,3.3574069755906337,3.376654907562354,0.009623965985860128
IDiffFace,10.31003851978903,10.28133113290635,10.337189228396829,0.02792904774523919
LangevinDisco,1.1013274629778498,1.0974050859930962,1.105524830078061,0.004059872042482371
MorphFace,8.23649003980371,8.210985983923287,8.261290773291371,0.02515239468404218
SFace,1.1148219029750452,1.1103717351626097,1.1194945546928172,0.004561409765103774
SFace2,1.794950828577414,1.7885225825887376,1.8016846910565931,0.006581054233927741
Syn-Multi-PIE,3.9419415237003586,3.930832014705931,3.9526356642866074,0.0109018247903383
SynFace,0.3918836379505224,0.3894169836797994,0.3941049075143965,0.002343961917298548
Vec2Face,9.371493123487156,9.34886895050967,9.394616825227068,0.022873937358698804
